                           N             E             V      SN      SE      SV
ABMF 2012.0630        -0.863         1.845        10.629   0.891   1.009   4.042
ABMF 2014.9404         0.940        -0.699         7.264   0.970   1.091   4.183
ABPO 2008.1150        -3.231         2.921        -2.013   1.736   1.839   7.588
ABPO 2008.8542        -2.636        -2.570         2.712   0.993   1.031   4.266
ABPO 2010.7576         1.285        -0.808         3.680   0.920   0.975   3.956
ABPO 2018.3876        13.735        -0.332         2.911   1.059   1.149   4.575
AC02 2007.9918         5.729         0.408        -6.808   1.225   0.864   3.534
AC02 2009.4593        -2.591        -1.455        -0.363   1.136   0.804   3.291
AC02 2010.9596         3.920         0.225        -5.257   1.233   0.877   3.551
AC02 2014.6858        -3.105         1.594         3.618   1.333   0.941   3.833
AC02 2015.6222        -4.338         3.185         2.440   1.605   1.117   4.621
AC02 2016.0767         3.864         2.932         2.362   1.688   1.162   4.884
AC02 2016.8159        -0.220         3.791         2.400   1.439   0.989   4.198
AC02 2018.0643        10.471       -22.963         1.601   1.296   0.897   3.780
AC02 2019.0719         5.947         0.503         2.620   1.214   0.843   3.536
AC03 2009.5113        -3.559        -0.757         4.040   1.470   0.999   4.318
AC03 2010.1602        -6.709         5.167        -5.417   1.714   1.159   4.999
AC03 2010.7159        -3.812         5.313        -2.856   1.780   1.213   5.161
AC03 2011.2416        -4.647         4.979        -4.087   1.640   1.127   4.756
AC03 2011.9808        -1.767         2.388        -5.095   1.419   0.971   4.122
AC03 2013.8344         0.495        -2.466         1.712   1.439   0.981   4.230
AC03 2016.0657         0.163        11.246         6.129   1.637   1.091   4.874
AC03 2016.5886        -7.357         4.763        -4.649   1.824   1.217   5.505
AC03 2017.1827        -3.679         5.940        -0.695   1.732   1.159   5.342
AC03 2017.9192        -2.431        -1.298        -6.623   2.351   1.537   7.631
AC03 2018.3929         0.961         4.247        -2.407   2.195   1.438   7.116
AC06 2009.4317        -5.327        -3.922         6.322   1.280   0.898   3.679
AC06 2010.7844        -4.430         3.700         5.467   1.172   0.824   3.363
AC06 2013.7851         4.598        -3.037         3.954   1.195   0.841   3.413
AC06 2014.6584         2.504        -2.755         2.948   1.199   0.842   3.427
AC06 2016.0630         0.019         8.499         4.768   1.290   0.892   3.738
AC06 2016.6899        -6.695         1.083         9.999   1.365   0.942   3.976
AC06 2017.6235        -5.019        -2.753         6.027   1.132   0.786   3.291
AC06 2019.5455         3.235        -3.249         4.817   1.137   0.797   3.299
AC07 2018.7023         6.896        -0.934         3.284   0.875   0.621   2.884
AC08 2018.0616         9.737       -11.436         1.955   0.835   0.578   2.472
AC09 2009.5715        -4.706         1.006         4.670   1.693   1.177   4.833
AC09 2010.5708        -3.048         1.114         3.528   1.538   1.072   4.378
AC09 2011.6468       -13.687         1.781        -1.181   1.533   1.075   4.352
AC09 2012.7830         4.779        -6.699        -6.778   1.433   1.003   4.076
AC09 2013.6235         1.273        -3.386         5.388   1.733   1.216   4.967
AC09 2014.0698         6.736        -9.383        -2.871   1.679   1.173   4.797
AC09 2014.7023         7.181        -9.123         0.133   1.593   1.110   4.518
AC09 2015.6085         0.459        -2.585         2.744   1.880   1.295   5.354
AC09 2016.1834       -15.078         3.804        -1.240   2.757   1.879   7.878
AC09 2016.3174       -21.658         3.311        -7.901   5.435   3.723  15.636
AC09 2016.3477       -18.857         7.067        -2.355   5.233   3.593  15.073
AC09 2016.5722        -9.754         0.159         3.960   2.093   1.451   6.034
AC09 2017.5879        -4.411         0.440         3.503   1.646   1.144   4.757
AC09 2018.0643       -14.032       -11.459         1.916   1.712   1.189   4.957
AC09 2018.5845        -3.998        -1.830         4.411   1.663   1.162   4.803
AC09 2019.5428        -2.783        -2.561         6.475   1.460   1.023   4.198
AC10 2011.5756        -1.738        -3.254         2.515   1.026   0.734   2.969
AC11 2006.5900        -1.242        -3.449         2.129   1.454   1.021   4.290
AC11 2007.5838         0.747        -1.042         4.492   1.607   1.128   4.720
AC11 2009.5332        -4.336        -1.238        12.135   1.627   1.138   4.790
AC11 2010.6749        -1.110         2.193         9.211   1.540   1.083   4.523
AC11 2011.3018        -3.311         4.247         4.719   1.549   1.096   4.528
AC11 2011.9124        -2.853         2.975         3.093   1.515   1.071   4.417
AC11 2012.6160        -0.776         3.925         4.583   1.663   1.175   4.871
AC11 2013.1335        -5.132         0.868        -1.356   1.720   1.209   5.004
AC11 2013.5852        -1.457         2.637        14.154   1.680   1.176   4.881
AC11 2014.6858        -0.524         1.924         6.105   1.461   1.026   4.285
AC11 2015.5866         0.505         1.199         4.781   1.470   1.025   4.321
AC11 2016.6790         2.352        -1.396         4.239   1.423   0.988   4.209
AC11 2017.6016        -0.277        -4.657         3.813   1.625   1.130   4.829
AC11 2018.0616        -2.631        -1.407        -4.314   1.615   1.122   4.797
AC11 2018.6886         0.800         0.947         5.279   2.102   1.479   6.207
AC11 2018.9158         2.317         7.705         6.309   3.229   2.264   9.387
AC11 2019.0034         1.271         2.291        -8.583   2.990   2.091   8.685
AC11 2019.5838         1.902        -0.909         2.593   1.811   1.270   5.352
AC11 2020.0082         4.395        -0.498        -2.893   1.750   1.224   5.140
AC12 2011.3429        -1.416         4.876         4.229   1.105   0.794   3.114
AC12 2017.5416         9.068        -4.210         0.121   1.194   0.843   3.390
AC13 2015.4499        -2.885         2.965        -1.400   1.138   0.795   3.252
AC13 2018.1165         6.282        -7.193         1.712   0.965   0.670   2.778
AC14 2011.0034        -5.918       -21.414        13.891   4.121   2.768  12.537
AC14 2011.0637       -16.702        16.652        16.694   4.588   3.093  13.937
AC14 2011.2909        24.393         7.974       -35.635   2.498   1.703   7.436
AC14 2012.9966       -22.104       -22.962        25.143   3.060   2.027   8.847
AC14 2013.1389       -24.416        -0.943         4.054   5.415   3.508  16.500
AC14 2013.2156         7.712        23.884         4.602   5.498   3.567  16.960
AC14 2013.3552        39.057         0.839       -34.834   3.167   2.096   9.556
AC14 2018.5188       -11.210         4.022         5.099   1.140   0.770   3.351
AC15 2006.9788         4.634        -3.091        -7.887   1.559   0.998   4.860
AC15 2008.0821         1.884         2.113        -8.293   1.598   1.020   4.938
AC15 2010.7488        -5.184         0.349        -3.094   1.547   0.997   4.815
AC15 2012.0109        -1.889        -1.932        -8.012   1.545   0.994   4.764
