dates,filenames
2010-12-02,tela3360.10d
2010-12-03,tela3370.10d
2010-12-04,tela3380.10d
2010-12-05,tela3390.10d
2010-12-06,tela3400.10d
2010-12-07,tela3410.10d
2010-12-08,tela3420.10d
2010-12-09,tela3430.10d
2010-12-10,tela3440.10d
2010-12-11,tela3450.10d
2010-12-31,tela3650.10d
2011-02-02,tela0330.11d
2011-08-05,tela2170.11d
2011-08-06,tela2180.11d
2011-08-07,tela2190.11d
2011-08-08,tela2200.11d
2011-08-09,tela2210.11d
2011-08-10,tela2220.11d
2012-01-01,tela0010.12d
2012-02-18,tela0490.12d
2012-02-22,tela0530.12d
2012-02-23,tela0540.12d
2012-02-24,tela0550.12d
2012-02-25,tela0560.12d
2012-02-26,tela0570.12d
2012-02-27,tela0580.12d
2012-02-28,tela0590.12d
2012-02-29,tela0600.12d
2012-03-02,tela0620.12d
2012-03-03,tela0630.12d
2012-03-04,tela0640.12d
2012-03-05,tela0650.12d
2012-03-06,tela0660.12d
2012-03-07,tela0670.12d
2012-03-08,tela0680.12d
2012-03-09,tela0690.12d
2012-03-10,tela0700.12d
2012-03-11,tela0710.12d
2012-03-12,tela0720.12d
2012-03-13,tela0730.12d
2012-03-14,tela0740.12d
2012-03-15,tela0750.12d
2012-03-16,tela0760.12d
2012-03-17,tela0770.12d
2012-03-18,tela0780.12d
2012-03-19,tela0790.12d
2012-03-20,tela0800.12d
2012-03-21,tela0810.12d
2012-03-22,tela0820.12d
2012-03-23,tela0830.12d
2012-03-24,tela0840.12d
2012-03-25,tela0850.12d
2012-03-26,tela0860.12d
2012-03-27,tela0870.12d
2013-05-04,tela1240.13d
2013-05-05,tela1250.13d
2013-05-06,tela1260.13d
2013-05-07,tela1270.13d
2013-05-08,tela1280.13d
2013-05-09,tela1290.13d
2013-05-10,tela1300.13d
2013-05-11,tela1310.13d
2013-05-12,tela1320.13d
2013-05-13,tela1330.13d
2013-07-19,tela2000.13d
2014-02-07,tela0380.14d
2014-11-28,tela3320.14d
2015-11-16,tela3200.15d
2016-02-23,tela0540.16d
2017-04-03,tela0930.17d
2018-08-17,tela2290.18d
2018-08-18,tela2300.18d
2018-11-30,tela3340.18d
2018-12-06,tela3400.18d
