                       N               E               V      SN      SE      SV
P487 VEL           9.787         -32.974           0.435   0.262   0.223   0.886
P488 POS    33.201015937  -116.078813250       61715.910   0.683   0.590   2.321
P488 VEL           7.479         -31.365           0.685   0.141   0.120   0.476
P489 POS    33.296213163  -116.111611381      290300.644   0.709   0.611   2.477
P489 VEL           5.131         -28.831           0.513   0.172   0.147   0.604
P490 POS    33.523462665  -116.425907955     2622421.378   0.488   0.432   1.806
P490 VEL           7.547         -28.975          -0.221   0.177   0.156   0.646
P491 POS    33.574678984  -116.226827356        4245.335   0.496   0.411   1.712
P491 VEL           5.313         -26.295           0.147   0.171   0.141   0.588
P492 POS    32.887048666  -115.969454224       68834.209   0.607   0.528   2.096
P492 VEL          13.186         -35.627           0.557   0.143   0.122   0.488
P493 POS    32.954703248  -115.824894345      197483.544   0.557   0.483   1.879
P493 VEL          10.552         -32.942           0.872   0.167   0.144   0.567
P494 POS    32.759654631  -115.732069607      -44289.976   0.849   0.735   2.988
P494 VEL          12.270         -33.340           1.619   0.255   0.217   0.891
P495 POS    33.044960621  -115.628395504      -84056.076   1.072   0.919   3.653
P495 VEL           4.949         -21.793          -5.755   0.203   0.175   0.693
P496 POS    32.750625705  -115.595956081      -40084.653   0.952   0.859   3.602
P496 VEL           9.343         -29.710           2.137   0.198   0.174   0.711
P497 POS    32.834735075  -115.577033723      -51011.439   0.616   0.538   2.155
P497 VEL           8.648         -26.818           1.729   0.170   0.146   0.588
P498 POS    32.898430899  -115.569568102      -58048.543   0.770   0.672   2.713
P498 VEL           7.492         -24.235           0.536   0.278   0.242   0.982
P499 POS    32.979605709  -115.487913892      -74219.488   0.545   0.482   2.004
P499 VEL          -5.161         -17.557          -5.214   0.202   0.178   0.742
P500 POS    32.690046029  -115.299933148      -20611.357   0.514   0.445   1.740
P500 VEL          -3.437         -16.924          -2.968   0.149   0.127   0.503
P501 POS    32.875755678  -115.397913641      -55706.761   0.547   0.474   1.911
P501 VEL          -4.390         -14.455          -1.857   0.313   0.270   1.092
P502 POS    32.982450507  -115.421913011      -66074.644   0.543   0.471   1.890
P502 VEL          -6.519         -15.416          -2.366   0.212   0.183   0.734
P503 POS    32.948915331  -115.720184631        6123.951   0.603   0.526   2.095
P503 VEL           8.435         -29.117           1.703   0.223   0.193   0.773
P504 POS    33.516409727  -115.765849252       84006.616   0.593   0.513   2.144
P504 VEL          -4.756         -19.548          -0.514   0.159   0.135   0.571
P505 POS    33.423873000  -115.687001515      -57803.010   0.619   0.540   2.185
P505 VEL          -6.678         -17.011          -0.726   0.139   0.119   0.487
P506 POS    33.081429698  -115.510199671      -83441.186   0.637   0.566   2.249
P506 VEL          -5.819         -17.086          -4.416   0.368   0.327   1.310
P507 POS    33.199975123  -115.612407162      -78557.372   0.616   0.529   2.142
P507 VEL         -13.658         -20.633         -13.153   0.146   0.123   0.501
P508 POS    33.247779562  -115.428706841       10686.087   0.506   0.437   1.732
P508 VEL          -7.381         -15.610          -0.931   0.156   0.133   0.535
P509 POS    32.890662218  -115.293918651      -29645.275   0.531   0.460   1.802
P509 VEL          -6.748         -13.559          -3.366   0.203   0.176   0.689
P510 POS    33.143573571  -115.343333937        1512.981   0.607   0.527   2.101
P510 VEL          -8.188         -14.868          -0.793   0.201   0.172   0.705
P511 POS    33.886934184  -115.296102637      273329.798   0.615   0.544   2.170
P511 VEL          -8.607         -15.427          -0.623   0.140   0.122   0.489
P512 POS    37.562634778  -119.694449885     1344713.426   0.526   0.457   1.836
P512 VEL          -2.134         -22.360           0.284   0.247   0.213   0.868
P513 POS    34.907264569  -120.650177461      284568.983   0.421   0.354   1.364
P513 VEL          23.788         -41.662          -0.202   0.134   0.111   0.441
P514 POS    35.010716342  -120.409754063      140909.937   0.636   0.541   2.121
P514 VEL          22.058         -40.782           0.636   0.129   0.107   0.439
P515 POS    34.870555835  -120.239855737      290625.890   0.400   0.338   1.333
P515 VEL          20.881         -41.285          -0.320   0.097   0.081   0.327
P516 POS    35.106202618  -120.383396549      262973.782   0.782   0.668   2.784
P516 VEL          21.461         -39.693           0.496   0.077   0.065   0.276
P517 POS    34.376366567  -118.177576280     1959165.556   1.794   1.525   6.004
P517 VEL          10.949         -34.771           0.179   0.158   0.131   0.527
P518 POS    35.020034814  -120.075311481     1101783.223   0.738   0.622   2.399
P518 VEL          18.544         -39.404           0.506   0.125   0.103   0.409
P519 POS    34.507812879  -119.792442177      810908.047   0.637   0.558   2.171
P519 VEL          19.000         -41.244           1.007   0.229   0.197   0.786
P520 POS    34.630485053  -119.616410379     1250824.663   0.739   0.625   2.408
P520 VEL          16.118         -41.304           0.452   0.095   0.079   0.311
P521 POS    34.888568734  -119.815360034     1709071.701   0.817   0.689   2.642
P521 VEL          17.157         -39.045           0.751   0.068   0.057   0.222
P522 POS    35.086612079  -119.536066076      991091.813   0.839   0.706   2.717
P522 VEL           8.389         -31.174           2.735   0.166   0.136   0.545
P523 POS    35.304451650  -120.860277654       41368.104   0.811   0.659   2.737
P523 VEL          24.285         -40.159           0.435   0.136   0.108   0.467
P525 POS    35.425769305  -120.808146078      271363.946   0.752   0.631   2.461
P525 VEL          23.748         -39.461          -0.259   0.113   0.093   0.373
P526 POS    35.635976448  -120.869741909      416834.317   0.712   0.600   2.511
P526 VEL          21.938         -37.974          -3.254   0.297   0.245   1.028
P527 POS    35.754145678  -120.604758777      347925.027   0.474   0.396   1.582
P527 VEL          20.245         -38.212          -1.083   0.197   0.163   0.662
P528 POS    35.327812915  -120.545453059      367354.579   0.809   0.674   2.658
P528 VEL          21.963         -38.680           0.020   0.122   0.100   0.402
P529 POS    35.440453007  -120.353832480      437329.339   0.680   0.571   2.210
P529 VEL          19.516         -37.253           0.350   0.148   0.121   0.490
P530 POS    35.624802608  -120.480438139      388357.768   0.760   0.632   2.489
P530 VEL          20.363         -36.913          -1.067   0.154   0.126   0.506
P531 POS    35.792691790  -120.536604504      440124.624   0.801   0.664   2.625
P531 VEL          20.489         -36.506           0.029   0.145   0.117   0.484
P532 POS    35.633812795  -120.267030767      533249.480   0.762   0.654   2.591
P532 VEL          15.602         -33.665           1.304   0.115   0.096   0.390
P533 POS    35.747931423  -120.370957509      603198.479   0.778   0.653   2.588
P533 VEL          16.848         -34.090           0.438   0.141   0.115   0.468
P534 POS    37.061233235  -122.237615320      204250.188   0.411   0.338   1.322
P534 VEL          23.138         -39.199          -0.063   0.091   0.073   0.296
P535 POS    35.235128755  -120.101426043      571565.981   0.691   0.608   2.513
P535 VEL          17.766         -37.379           0.448   0.127   0.110   0.464
P536 POS    35.279769014  -120.025024477      665371.531   0.801   0.660   2.693
P536 VEL          16.184         -35.930           1.125   0.132   0.107   0.447
P537 POS    35.316797094  -119.935344725      581815.519   0.856   0.714   2.817
P537 VEL          13.630         -33.707           1.428   0.138   0.113   0.464
P538 POS    35.534174563  -120.112503567      641187.975   0.883   0.731   2.865
P538 VEL          12.947         -32.826           2.960   0.221   0.183   0.762
P539 POS    35.702674301  -120.182053853      601102.152   0.755   0.633   2.454
P539 VEL           8.649         -27.549           1.472   0.090   0.074   0.297
P540 POS    35.801279640  -120.130639282      393665.841   0.796   0.681   2.718
P540 VEL           5.166         -23.834           0.691   0.206   0.174   0.704
P541 POS    35.686731938  -120.000681432      209200.202   0.761   0.640   2.521
P541 VEL           4.852         -24.993           1.235   0.104   0.086   0.351
P542 POS    35.688911279  -120.292603868      587960.389   0.758   0.634   2.472
P542 VEL          15.375         -33.461           0.166   0.155   0.127   0.507
P543 POS    35.318992865  -119.713224695      544049.104   0.801   0.673   2.794
P543 VEL           7.556         -27.922           2.343   0.112   0.092   0.403
P544 POS    35.731267810  -119.738037546       33571.674   1.049   0.883   3.527
P544 VEL           1.329         -22.476          -5.564   0.145   0.119   0.476
P545 POS    35.499842096  -119.535810420       50656.116   0.852   0.717   2.849
P545 VEL           1.460         -24.364          -9.433   0.298   0.249   0.992
P546 POS    35.927904101  -120.154887220      635262.846   0.774   0.646   2.521
P546 VEL           3.871         -21.716           2.328   0.205   0.168   0.668
P547 POS    35.934703634  -119.909363550       45868.061   0.973   0.813   3.170
P547 VEL           2.034         -21.668           0.146   0.161   0.131   0.532
P548 POS    34.466807675  -119.503949223     1134839.204   0.401   0.342   1.308
P548 VEL          15.986         -41.005           0.365   0.095   0.080   0.314
P549 POS    34.599601075  -119.326343538     1250294.169   0.530   0.438   1.775
P549 VEL          13.131         -39.418           1.626   0.066   0.055   0.223
P550 POS    34.660084089  -119.114624085     1526129.470   0.623   0.537   2.145
P550 VEL          11.069         -36.626           2.546   0.141   0.119   0.485
P551 POS    34.856199577  -119.154574106     1550308.956   1.058   0.794   5.276
P551 VEL           9.362         -32.620           0.558   0.184   0.128   0.909
P552 POS    35.686726526  -120.244964464      581670.337   0.746   0.630   2.456
P552 VEL          14.196         -32.399           0.723   0.135   0.111   0.446
P553 POS    34.835094690  -118.878971545     1335850.346   1.388   1.172   4.564
P553 VEL           7.198         -30.482           1.771   0.109   0.090   0.360
P554 POS    34.792297548  -118.848032139     1170139.017   0.668   0.555   2.272
P554 VEL           7.465         -32.548           1.711   0.138   0.113   0.470
P555 POS    34.694991317  -118.669426709     1095982.841   0.779   0.654   2.766
P555 VEL          10.031         -31.591           0.830   0.135   0.111   0.485
P556 POS    34.771109215  -118.545456698      852609.569   0.759   0.637   2.536
P556 VEL           8.499         -28.423          -1.475   0.105   0.088   0.352
P557 POS    34.944385236  -118.655590035     1818214.757   1.328   1.109   4.685
P557 VEL           4.248         -25.765           1.225   0.121   0.099   0.426
P558 POS    35.138605576  -118.611657718     1411446.321   0.751   0.630   2.457
P558 VEL           2.422         -24.421           0.619   0.117   0.097   0.387
P559 POS    34.838910174  -118.617601285      927709.510   1.438   1.181   4.922
P559 VEL           6.009         -26.490           0.821   0.135   0.112   0.464
P560 POS    34.821811436  -118.540869958      838288.817   0.777   0.675   2.704
P560 VEL           6.088         -26.321           0.777   0.070   0.059   0.246
P561 POS    34.618460169  -118.399058769      974406.484   1.279   1.509   8.070
P561 VEL           9.571         -30.848           0.492   0.181   0.207   1.102
P562 POS    34.982133321  -118.188747217     1241058.824   0.514   0.430   1.693
P562 VEL           4.000         -22.278          -0.563   0.090   0.074   0.298
P563 POS    35.418669287  -119.421168773       56552.863   1.150   0.974   3.840
P563 VEL           2.250         -21.893          -9.662   0.273   0.225   0.915
P564 POS    35.622911434  -119.349392853       60643.262   2.419   2.008   8.120
P564 VEL          -0.246         -22.118         -18.547   0.723   0.603   2.374
P565 POS    35.743893564  -119.236655887       62759.709   0.817   0.685   2.693
P565 VEL           0.981         -23.290          -2.931   0.614   0.510   2.021
P566 POS    36.324454289  -119.229290023       78028.544   1.033   0.869   3.478
